Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Ward,Parish,Introduced,Terminated,Altitude,Country,Last Updated,Quality,LSOA Code,LSOA Name,LSOA Code 2021,LSOA Name 2021
CM9 8HG,Yes,51.797117,0.822240,594707,214708,TL947147,Marks Tey and Layer,Virley,1980-01-01,,10,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021644,Colchester 019B,E01021644,Colchester 019B
CM9 8HH,Yes,51.788487,0.825066,594939,213756,TL949137,Marks Tey and Layer,Virley,1980-01-01,,6,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021644,Colchester 019B,E01021644,Colchester 019B
CM9 8HJ,Yes,51.788445,0.821945,594724,213743,TL947137,Marks Tey and Layer,Salcott,1980-01-01,,5,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021644,Colchester 019B,E01021644,Colchester 019B
CM9 8HL,Yes,51.787072,0.825962,595007,213601,TL950136,Marks Tey and Layer,Salcott,1980-01-01,,7,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021644,Colchester 019B,E01021644,Colchester 019B
CM9 8HN,Yes,51.787083,0.824369,594897,213598,TL948135,Marks Tey and Layer,Salcott,1980-01-01,,7,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021644,Colchester 019B,E01021644,Colchester 019B
CM9 8HP,Yes,51.788964,0.816061,594316,213785,TL943137,Marks Tey and Layer,Salcott,1980-01-01,,9,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021644,Colchester 019B,E01021644,Colchester 019B
CM9 8HQ,Yes,51.789066,0.817416,594409,213800,TL944137,Marks Tey and Layer,Salcott,1980-01-01,,7,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021644,Colchester 019B,E01021644,Colchester 019B
CM9 8HS,Yes,51.787638,0.824098,594876,213659,TL948136,Marks Tey and Layer,Salcott,1980-01-01,,6,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021644,Colchester 019B,E01021644,Colchester 019B
CM9 8HW,Yes,51.786297,0.830106,595296,213526,TL952135,Marks Tey and Layer,Salcott,1980-01-01,,6,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021644,Colchester 019B,E01021644,Colchester 019B
CO1 1AA,Yes,51.890906,0.900864,599712,225349,TL997253,Castle,"Colchester, unparished area",2016-06-01,,37,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021649,Colchester 007D,E01035157,Colchester 007D
